"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $0.9838/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0xc5df6e4f59aa9c6802f6b4ed37289cbb2e4a4f12ea48cff6df639105d843bf60","36616070","1650540125","2022-04-21 11:22:05","0xfe351f5ed699fd5ea80b906f89dfdad2f885a46c","","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","0","0","0","2.1275429528","2.09307675696464","1.12","","","0x60a06040",""
"0xc916eb5aaed9867603451ce2d017f007bda93aa70ba9c38c30c04c0d01dddb3a","36620604","1650544553","2022-04-21 12:35:53","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0219110491944","0.0215560901974507","1.12","","","Mint Fractional DEI",""
"0x686ba7e5342a4eb1dcbd6176a5dc643ced9c11c425e28ded2be01708f223be58","36620743","1650544758","2022-04-21 12:39:18","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0379020019788","0.0372879895467434","1.12","","","Redeem Fractional DEI",""
"0xbbef21e320933222b56fa57af9532a7d3fa6751cc43a9a5c64f2cb50d1a2274e","36795147","1650734416","2022-04-23 17:20:16","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0053428310861","0.00525627722250518","1.09","","","Collect Collateral",""
"0xb81b9d67770ee705beab86ab6811561cc249bf1f5e6c50cb10908c15b485404e","36863541","1650811067","2022-04-24 14:37:47","0xe5227f141575dce74721f4a9be2d7d636f923044","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.008817050855","0.008674214631149","1.07","","","Grant Role",""
"0xf76b5fe5474b784680c092666cd34126f537304e89c0e25df5200bde75844d80","36863596","1650811129","2022-04-24 14:38:49","0xe5227f141575dce74721f4a9be2d7d636f923044","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0078863159694","0.00775855765069572","1.07","","","Set Pool Parameters",""
"0x3a626a423c1d268ca8ed9211287beefa27e16ede9c6f3345bee25e718b4adbee","36930010","1650891185","2022-04-25 12:53:05","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0458552338728","0.0451123790840606","1.07","","","Redeem Fractional DEI",""
"0xda9148ae8c9097be0bc9122d2bf7e051d37588fe057d55955fd8c8de519e657c","36930042","1650891232","2022-04-25 12:53:52","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0384695017848","0.0378462958558862","1.07","","","Redeem Fractional DEI",""
"0x31907f04e43f90dde810f64dcce90448568a134021a5b20c280c098830899d14","36933456","1650895347","2022-04-25 14:02:27","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0364003453134","0.0358106597193229","1.07","","","Mint Fractional DEI",""
"0x5b8ef59d2f7b133e8e71cbca4abb033dc67b3e1480b91ff74ef4c186e7302de0","36933469","1650895366","2022-04-25 14:02:46","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0385237976472","0.0378997121253154","1.07","","","Redeem Fractional DEI",""
"0xf2e84270d497d8bce632403b5e44fb9e0b7c1024dddacd91aebfcbd424f250d8","36933657","1650895605","2022-04-25 14:06:45","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0079512130534","0.00782240340193492","1.07","","","Collect Collateral",""
"0x5c82a9f7fae28abc80533be36211329add01650caecd413aed4784502eb17dde","36933730","1650895688","2022-04-25 14:08:08","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0506143676616","0.0497944149054821","1.07","","","Redeem Fractional DEI",""
"0x3bb040a26deab3a08290b17bea8af66e7346b011f9be09947ef0d128c0c2646a","36934092","1650896063","2022-04-25 14:14:23","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0074877702679","0.00736646838956002","1.07","","","Collect Collateral",""
"0x52870ed1a0b01cef67cdf4b6da30e908c5d3072977adf131e348897d76849136","36935892","1650898654","2022-04-25 14:57:34","0xb32e23c6b979f6530cd3e5e284a875f7db78b2e8","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0300119701341","0.0295257762179276","1.07","","","0xea7d3ca1",""
